customer_key,customer_name,email,city,country,active_status
1,MARY SMITH,MARY.SMITH@sakilacustomer.org,Sasebo,Japan,1
2,PATRICIA JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,San Bernardino,United States,1
3,LINDA WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,Athenai,Greece,1
4,BARBARA JONES,BARBARA.JONES@sakilacustomer.org,Myingyan,Myanmar,1
5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,Nantou,Taiwan,1
6,JENNIFER DAVIS,JENNIFER.DAVIS@sakilacustomer.org,Laredo,United States,1
7,MARIA MILLER,MARIA.MILLER@sakilacustomer.org,Kragujevac,Yugoslavia,1
8,SUSAN WILSON,SUSAN.WILSON@sakilacustomer.org,Hamilton,New Zealand,1
9,MARGARET MOORE,MARGARET.MOORE@sakilacustomer.org,Masqat,Oman,1
10,DOROTHY TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,Esfahan,Iran,1
11,LISA ANDERSON,LISA.ANDERSON@sakilacustomer.org,Sagamihara,Japan,1
12,NANCY THOMAS,NANCY.THOMAS@sakilacustomer.org,Yamuna Nagar,India,1
13,KAREN JACKSON,KAREN.JACKSON@sakilacustomer.org,Osmaniye,Turkey,1
14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,Citrus Heights,United States,1
15,HELEN HARRIS,HELEN.HARRIS@sakilacustomer.org,Bhopal,India,1
16,SANDRA MARTIN,SANDRA.MARTIN@sakilacustomer.org,Southend-on-Sea,United Kingdom,0
17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,Elista,Russian Federation,1
18,CAROL GARCIA,CAROL.GARCIA@sakilacustomer.org,Kaduna,Nigeria,1
19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,Kimberley,South Africa,1
20,SHARON ROBINSON,SHARON.ROBINSON@sakilacustomer.org,Mardan,Pakistan,1
21,MICHELLE CLARK,MICHELLE.CLARK@sakilacustomer.org,Tangail,Bangladesh,1
22,LAURA RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,Sal,Morocco,1
23,SARAH LEWIS,SARAH.LEWIS@sakilacustomer.org,Liepaja,Latvia,1
24,KIMBERLY LEE,KIMBERLY.LEE@sakilacustomer.org,Crdoba,Argentina,1
25,DEBORAH WALKER,DEBORAH.WALKER@sakilacustomer.org,Shikarpur,Pakistan,1
26,JESSICA HALL,JESSICA.HALL@sakilacustomer.org,Citt del Vaticano,Holy See (Vatican City State),1
27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,Davao,Philippines,1
28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,Munger (Monghyr),India,1
29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,Shimonoseki,Japan,1
30,MELISSA KING,MELISSA.KING@sakilacustomer.org,Lungtan,Taiwan,1
31,BRENDA WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,Kamarhati,India,1
32,AMY LOPEZ,AMY.LOPEZ@sakilacustomer.org,Jhansi,India,1
33,ANNA HILL,ANNA.HILL@sakilacustomer.org,Alessandria,Italy,1
34,REBECCA SCOTT,REBECCA.SCOTT@sakilacustomer.org,Kurashiki,Japan,1
35,VIRGINIA GREEN,VIRGINIA.GREEN@sakilacustomer.org,Toulouse,France,1
36,KATHLEEN ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,Arak,Iran,1
37,PAMELA BAKER,PAMELA.BAKER@sakilacustomer.org,Nanyang,China,1
38,MARTHA GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,Chisinau,Moldova,1
39,DEBRA NELSON,DEBRA.NELSON@sakilacustomer.org,Vila Velha,Brazil,1
40,AMANDA CARTER,AMANDA.CARTER@sakilacustomer.org,Nador,Morocco,1
41,STEPHANIE MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,Yerevan,Armenia,1
42,CAROLYN PEREZ,CAROLYN.PEREZ@sakilacustomer.org,Pak Kret,Thailand,1
43,CHRISTINE ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,Faaa,French Polynesia,1
44,MARIE TURNER,MARIE.TURNER@sakilacustomer.org,Lipetsk,Russian Federation,1
45,JANET PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,Antofagasta,Chile,1
46,CATHERINE CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,Moscow,Russian Federation,1
47,FRANCES PARKER,FRANCES.PARKER@sakilacustomer.org,Juazeiro do Norte,Brazil,1
48,ANN EVANS,ANN.EVANS@sakilacustomer.org,Niznekamsk,Russian Federation,1
49,JOYCE EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,Jedda,Saudi Arabia,1
50,DIANE COLLINS,DIANE.COLLINS@sakilacustomer.org,Omdurman,Sudan,1
51,ALICE STEWART,ALICE.STEWART@sakilacustomer.org,Fontana,United States,1
52,JULIE SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,A Corua (La Corua),Spain,1
53,HEATHER MORRIS,HEATHER.MORRIS@sakilacustomer.org,Nagareyama,Japan,1
54,TERESA ROGERS,TERESA.ROGERS@sakilacustomer.org,Iwakuni,Japan,1
55,DORIS REED,DORIS.REED@sakilacustomer.org,Balaiha,Russian Federation,1
56,GLORIA COOK,GLORIA.COOK@sakilacustomer.org,Papeete,French Polynesia,1
57,EVELYN MORGAN,EVELYN.MORGAN@sakilacustomer.org,Vaduz,Liechtenstein,1
58,JEAN BELL,JEAN.BELL@sakilacustomer.org,Kuching,Malaysia,1
59,CHERYL MURPHY,CHERYL.MURPHY@sakilacustomer.org,Mysore,India,1
60,MILDRED BAILEY,MILDRED.BAILEY@sakilacustomer.org,Jaipur,India,1
61,KATHERINE RIVERA,KATHERINE.RIVERA@sakilacustomer.org,Basel,Switzerland,1
62,JOAN COOPER,JOAN.COOPER@sakilacustomer.org,Saint Louis,United States,1
63,ASHLEY RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,Lincoln,United States,1
64,JUDITH COX,JUDITH.COX@sakilacustomer.org,Daxian,China,0
65,ROSE HOWARD,ROSE.HOWARD@sakilacustomer.org,Cayenne,French Guiana,1
66,JANICE WARD,JANICE.WARD@sakilacustomer.org,Malm,Sweden,1
67,KELLY TORRES,KELLY.TORRES@sakilacustomer.org,Xiangtan,China,1
68,NICOLE PETERSON,NICOLE.PETERSON@sakilacustomer.org,Shivapuri,India,1
